"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15785",134.250962020967,159.612565164216,20.0586302014647,19.9462773309261,70.0652622016301,31.7164827743613,65.7258269732562,55.2889928653484,0,0,135.9595260924,278.066582141746
"gene15787",230.864461345217,244.820467403507,242.720223547848,278.441008430366,164.625010546715,210.044860195992,211.272168296882,214.519088665061,137.449937552317,0,122.29130228821,0
"gene15788",143.694894251885,0.962367531187103,160.217457937707,91.3415826208437,49.6419457499068,64.9170923945105,74.2686644019451,58.3024121791988,0,0,0,0
"gene15789",108.49304220259,168.573574996001,3.14798725004444,185.569621573723,102.145593046044,93.4265702812082,110.121180395783,146.639168291181,0,7.38549900849168,0,343.428321559916
"gene15790",104.115139560349,37.0300736016537,16.5584830463084,0,41.3248787083102,45.9872434668717,27.5123410741609,38.9692688186132,0.926026862128636,334.671666985466,16.8589982949044,112.467338340977
"gene15791",398.901891675158,515.793046205064,495.523044760228,501.150217939519,582.749698035627,611.335931364191,590.141692502035,589.762778627514,1953.47761463093,1497.39719035271,895.886775259174,1122.03785690421
"gene15792",0,136.49490868209,0,0.582902259888944,161.710800753522,153.819436467932,131.284238659324,166.7768715079,328.493959871234,3.45200671888617,1.41767772907802,255.416642244295
"gene15793",102.6814514623,23.3678910085134,60.3130296059469,19.2642390179008,34.3084684985079,19.404244632936,35.69821986156,46.5199792704513,0,14.9238825505986,11.4407495716041,0
"gene15794",86.9080231970408,45.2226299460526,0.16611759066477,2.68501534981778,74.5929686324385,69.802186895434,60.3577151621773,61.4719350857026,0,0,0,0
"gene15796",89.4391066330033,10.3079772809995,140.524232204156,48.3466766029333,60.1722187099224,61.1279941283361,67.5823200191572,69.2088286369327,0,207.330796319197,0,120.011228178668
"gene15797",90.0009310238569,88.1412818031224,0,54.5110763372811,45.4918578707079,55.358243745051,55.5219634675055,66.0085874926993,0,0,0.178194214557723,0
"gene15798",0,1.05011703702031,0,0,55.4704649926197,61.0962994004389,45.0082777045619,58.3169369455612,0,0,138.080539352352,0
"gene15799",0,178.55927568234,36.0641289333216,0,67.5118529038697,52.4669214602777,43.3214290059765,91.0327385720211,0,218.684625641438,0,0
"gene15800",148.811268563682,315.104604145306,4.89558311312059,219.932022888318,106.648230630876,132.536222379496,116.377455614482,109.821135468538,0,0,268.863623729741,0
"gene15801",0,0,0,0,0,7.40460585124886,3.2169377974735,0,0,0,91.4136320681121,0
"gene15803",94.7390353335429,50.9597188336266,120.334905633522,49.7579623419609,76.2072096449747,64.5458675991582,82.6632827531278,82.1432551561367,0,463.380398271212,105.702629281752,0
"gene15804",0,0,0,0,0,4.14396203751777,0,2.9454516653151,0,0,8.92808126546944,0
"gene15805",17.475690855821,24.3587431849722,16.7367988794029,0.099768613749313,5.06609191317072,10.5630040917511,3.40706414484191,6.0369873603993,0.393178308364782,0,3.51838789594823,0
"gene15806",0,0,0,0,0,0,0,0,0,0,0,0
"gene15808",55.5569189247889,0,141.358663138938,13.5745684242417,38.9507464462844,32.1248050034163,35.0789650272269,32.4301150453721,0,0,0,45.9812527485649
"gene15809",44.5073287545049,0,4.08824133657087,0,0,0.668084738458543,0,0,0,0,0,0
"gene15810",0,0,0,0,4.76394123313597,31.5136499026365,2.23398458157882,4.31026224299342,0,0,0,0
"gene15811",308.507590215371,206.711001194695,284.037837246294,302.188045645142,0,0,0,0,0,0,0,0
"gene15812",64.4385010465846,40.6109921831697,53.8300191651669,2.01202019623168,3.11485345398299,4.03452047062767,3.27189541578552,0.939406720761381,0,0,17.127033923641,36.0281015946499
"gene15813",2.26452382893389,4.36027990172905,44.1331713017961,0,16.0902132044973,30.883162438178,23.1287285538313,24.7719313360973,0,0,12.040053980643,0
"gene15814",0,0,0,0,0,0,0,0,0,0,0,0
"gene15815",0,0,0,0,0,0,0,0,0,0,0,0
"gene15816",0,0,0,0,0,0,0,0,0,0,0,0
"gene15817",0,0,0,0,0,0,0,0,0,0,0,0
"gene15818",0,0,0,0,0,0,0,0,0,0,0,0
"gene15819",0,0,0,0,0,0,0,0,0,0,0,0
"gene15820",0,0,0,0,0,0,0,0,0,0,0,0
